k,accuracy,fscore,precision,recall
1,0.9945652173913043,0.9918552304229358,0.9891599716446124,0.9945652173913043
2,0.9956521739130435,0.9938453210690184,0.9924102285092492,0.9956521739130435
3,0.9956521739130435,0.9938453210690184,0.9924102285092492,0.9956521739130435
4,0.9965909090909091,0.994889274072541,0.9931934400826447,0.9965909090909091
5,0.9946524064171123,0.9919857779816778,0.9893334095913523,0.9946524064171123
6,0.9935064935064936,0.9902703160032152,0.9870551526395682,0.9935064935064936
7,0.9833333333333333,0.9750700280112045,0.9669444444444444,0.9833333333333333
8,0.9583333333333334,0.9379432624113475,0.9184027777777778,0.9583333333333334
9,0.9090909090909091,0.8658008658008658,0.8264462809917354,0.9090909090909091
10,1.0,1.0,1.0,1.0
11,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,1.0
15,1.0,0.977958783070152,0.9712796611825528,0.9851147458324568
