k,mean_absolute_error,mean_squared_error,root_mean_squared_error
0,4.0434847,43.563812,6.600289
1,4.6243844,57.26609,7.567436
2,7.008723,103.83755,10.190071
3,2.0992084,23.691803,4.8674226
4,2.2414508,26.397896,5.1378884
5,2.2321293,27.099339,5.2057023
6,2.77913,32.949734,5.7401857
7,2.3698552,34.597466,5.881961
8,4.0513573,42.998676,6.5573378
9,1.2579815,3.4670599,1.8620043
10,2.466845,14.082716,3.7526946
11,0.31853124,0.10918981,0.33043882
12,0.0022664666,5.136871e-06,0.0022664666
15,2.7304113,31.54318,4.899669
